 count,0,10,15,30,55,75,80,90
397,0.06,10.07,15.03,30.0,55.03,74.97,79.96,89.9,
398,0.06,10.05,15.05,29.99,55.04,74.94,79.95,89.9,
399,0.06,10.06,15.03,29.98,55.03,74.97,79.94,89.89,
400,0.06,10.05,15.02,29.96,55.02,74.95,79.95,89.9,
401,0.04,10.05,15.02,30.0,55.04,74.97,79.95,89.91,
402,0.07,10.06,15.03,29.98,55.03,74.96,79.95,89.92,
403,0.06,10.06,15.05,29.97,55.04,74.97,79.95,89.91,
404,0.05,10.05,15.03,29.99,55.03,74.98,79.97,89.92,
405,0.05,10.06,15.02,29.98,55.04,74.95,79.95,89.91,
406,0.07,10.05,15.02,29.97,55.02,74.97,79.94,89.91,
407,0.06,10.03,15.03,29.98,55.04,74.97,79.97,89.89,
408,0.04,10.05,15.02,29.95,55.03,74.95,79.95,89.91,
409,0.05,10.06,15.02,29.99,55.03,74.95,79.95,89.9,
410,0.04,10.03,15.02,29.96,55.03,74.95,79.94,89.9,
411,0.06,10.03,15.05,29.98,55.03,74.95,79.95,89.89,
412,0.06,10.04,15.05,30.0,55.02,74.98,79.95,89.9,
413,0.06,10.03,15.03,29.98,55.02,74.95,79.95,89.89,
414,0.06,10.06,15.03,29.98,55.03,74.95,79.95,89.92,
415,0.05,10.06,15.03,29.98,55.04,74.97,79.95,89.91,
416,0.04,10.04,15.03,29.96,55.03,74.97,79.95,89.91,
417,0.05,10.06,15.02,29.98,55.03,74.97,79.94,89.9,
418,0.05,10.05,15.02,29.96,55.03,74.95,79.95,89.91,
419,0.06,10.03,15.03,29.98,55.02,74.96,79.95,89.91,
420,0.04,10.05,15.01,29.98,55.02,74.97,79.95,89.9,
421,0.05,10.06,15.02,30.0,55.04,74.98,79.95,89.91,
422,0.04,10.07,15.02,29.98,55.06,74.95,79.95,89.92,
423,0.05,10.05,15.03,29.98,55.03,74.98,79.97,89.91,
424,0.04,10.04,15.02,29.98,55.02,74.98,79.95,89.9,
425,0.06,10.05,15.03,29.98,55.03,74.97,79.94,89.91,
426,0.04,10.06,15.02,29.98,55.02,74.95,79.94,89.9,
427,0.05,10.06,15.02,29.97,55.02,74.97,79.95,89.9,
428,0.06,10.05,15.02,29.98,55.02,74.97,79.95,89.9,
429,0.06,10.05,15.02,29.98,55.02,74.95,79.95,89.89,
430,0.07,10.05,15.02,29.98,55.02,74.97,79.95,89.87,
431,0.06,10.05,15.02,29.96,55.02,74.97,79.96,89.9,
432,0.06,10.03,15.02,29.98,55.04,74.97,79.94,89.9,
433,0.07,10.07,15.02,30.0,55.03,74.95,79.95,89.91,
434,0.05,10.05,15.02,29.98,55.02,74.97,79.95,89.9,
435,0.04,10.05,15.02,29.98,55.02,74.95,79.95,89.9,
436,0.05,10.05,15.02,29.98,55.02,74.97,79.98,89.87,
437,0.06,10.06,15.01,29.98,55.02,74.97,79.94,89.9,
438,0.06,10.03,15.02,29.96,55.02,74.96,79.93,89.89,
439,0.06,10.05,15.0,29.96,55.02,74.97,79.95,89.9,
440,0.04,10.05,15.02,29.98,55.03,74.97,79.95,89.89,
441,0.05,10.03,15.02,29.98,55.02,74.98,79.95,89.9,
442,0.05,10.05,15.02,29.98,55.02,74.95,79.95,89.89,
443,0.04,10.02,15.02,29.96,55.03,74.94,79.95,89.89,
444,0.05,10.03,15.02,29.98,55.02,74.94,79.94,89.92,
445,0.06,10.03,15.02,29.97,55.02,74.95,79.95,89.9,
446,0.03,10.03,15.02,29.96,55.02,74.98,79.95,89.9,
447,0.04,10.03,15.02,29.96,55.02,74.95,79.95,89.89,
448,0.06,10.05,15.02,29.96,55.02,74.96,79.95,89.9,
449,0.04,10.03,15.0,29.98,55.02,74.98,79.94,89.91,
450,0.07,10.06,15.02,29.98,55.02,74.94,79.94,89.9,
