 count,120,110,90, 70, 50, 30, 10, 0, -10, -30, -50, -70, -89,-90,-110,-120
1,120.08,110.02,90.13,70.04,50.11,30.0,10.0,0.02,-9.93,-29.92,-49.88,-69.91,-88.79,-89.79,-109.79,-119.8,
2,120.09,110.01,90.09,70.05,50.11,29.97,9.97,-0.01,-9.94,-29.93,-49.88,-69.9,-88.8,-89.79,-109.79,-119.8,
3,120.08,110.02,90.09,70.05,50.09,29.96,9.97,0.0,-9.94,-29.9,-49.86,-69.87,-88.81,-89.77,-109.8,-119.8,
4,120.06,110.02,90.08,70.04,50.09,29.94,10.0,-0.01,-9.96,-29.92,-49.88,-69.87,-88.79,-89.79,-109.8,-119.8,
5,120.09,110.01,90.09,70.05,50.09,29.98,9.98,0.03,-9.93,-29.9,-49.86,-69.88,-88.8,-89.8,-109.8,-119.79,
6,120.09,110.01,90.06,70.04,50.09,29.98,9.97,0.0,-9.96,-29.95,-49.86,-69.88,-88.8,-89.79,-109.79,-119.8,
7,120.08,110.01,90.11,70.05,50.09,29.97,9.98,0.01,-9.94,-29.93,-49.86,-69.87,-88.8,-89.8,-109.8,-119.8,
8,120.11,110.01,90.08,70.05,50.09,30.0,10.0,0.0,-9.94,-29.94,-49.88,-69.94,-88.79,-89.8,-109.79,-119.8,
9,120.08,110.02,90.06,70.05,50.09,29.98,9.98,0.01,-9.93,-29.93,-49.86,-69.9,-88.8,-89.8,-109.8,-119.79,
10,120.08,110.04,90.09,70.05,50.09,29.96,10.02,0.01,-9.96,-29.9,-49.88,-69.87,-88.81,-89.81,-109.8,-119.8,
11,120.08,110.01,90.09,70.05,50.09,29.97,10.0,0.0,-9.96,-29.9,-49.86,-69.9,-88.81,-89.8,-109.81,-119.8,
12,120.08,110.01,90.08,70.05,50.11,29.97,10.0,0.01,-9.93,-29.93,-49.88,-69.91,-88.8,-89.8,-109.8,-119.81,
13,120.08,110.04,90.09,70.05,50.11,29.97,9.98,-0.01,-9.93,-29.94,-49.86,-69.91,-88.8,-89.77,-109.79,-119.79,
14,120.06,110.04,90.08,70.06,50.09,29.96,10.01,0.02,-9.94,-29.93,-49.88,-69.91,-88.8,-89.8,-109.8,-119.8,
15,120.08,110.01,90.08,70.02,50.09,29.95,9.97,0.0,-9.93,-29.93,-49.88,-69.93,-88.8,-89.8,-109.8,-119.8,
16,120.08,110.02,90.08,70.04,50.08,29.97,9.98,0.0,-9.94,-29.94,-49.86,-69.87,-88.8,-89.8,-109.8,-119.8,
17,120.08,110.01,90.06,70.04,50.09,29.95,9.98,-0.01,-9.96,-29.92,-49.9,-69.9,-88.8,-89.79,-109.8,-119.79,
18,120.06,110.01,90.08,70.05,50.09,29.96,9.98,0.0,-9.94,-29.92,-49.88,-69.91,-88.77,-89.79,-109.79,-119.79,
19,120.08,110.01,90.08,70.05,50.09,29.97,9.97,0.0,-9.96,-29.9,-49.88,-69.88,-88.8,-89.79,-109.79,-119.8,
20,120.08,110.02,90.09,70.05,50.09,29.95,9.97,0.0,-9.97,-29.93,-49.91,-69.88,-88.8,-89.8,-109.79,-119.8,
21,120.08,110.01,90.08,70.02,50.09,29.96,9.97,0.0,-9.94,-29.93,-49.88,-69.88,-88.79,-89.77,-109.8,-119.81,
22,120.06,110.04,90.08,70.05,50.09,29.97,9.98,0.0,-9.97,-29.93,-49.88,-69.87,-88.8,-89.79,-109.79,-119.81,
23,120.08,110.04,90.08,70.05,50.11,29.95,9.98,0.0,-9.93,-29.94,-49.86,-69.87,-88.77,-89.79,-109.79,-119.8,
24,120.08,110.01,90.09,70.05,50.09,29.97,9.97,0.0,-9.96,-29.89,-49.88,-69.87,-88.8,-89.8,-109.77,-119.8,
25,120.06,110.01,90.09,70.04,50.11,29.96,9.97,0.0,-9.94,-29.94,-49.88,-69.9,-88.8,-89.8,-109.77,-119.8,
26,120.06,110.01,90.11,70.05,50.09,29.97,9.98,0.0,-9.94,-29.93,-49.86,-69.88,-88.79,-89.79,-109.79,-119.8,
27,120.09,110.01,90.08,70.04,50.09,29.97,10.0,0.0,-9.97,-29.92,-49.88,-69.9,-88.79,-89.79,-109.8,-119.79,
28,120.06,110.01,90.06,70.05,50.08,29.95,9.97,-0.01,-9.97,-29.92,-49.86,-69.87,-88.8,-89.77,-109.79,-119.8,
29,120.08,110.01,90.08,70.05,50.09,29.95,9.98,0.0,-9.97,-29.95,-49.88,-69.9,-88.79,-89.77,-109.79,-119.8,
30,120.08,109.98,90.08,70.02,50.09,29.95,9.97,-0.01,-9.96,-29.94,-49.9,-69.88,-88.79,-89.79,-109.8,-119.8,
31,120.06,110.04,90.08,70.04,50.11,29.97,9.98,-0.02,-9.97,-29.95,-49.88,-69.9,-88.83,-89.81,-109.81,-119.8,
32,120.08,110.02,90.08,70.04,50.09,29.96,9.96,0.0,-9.96,-29.94,-49.86,-69.91,-88.8,-89.8,-109.8,-119.8,
33,120.09,110.01,90.08,70.04,50.11,29.96,9.97,0.0,-9.97,-29.93,-49.88,-69.87,-88.81,-89.79,-109.79,-119.8,
34,120.09,110.02,90.12,70.05,50.09,29.95,10.01,-0.01,-9.94,-29.93,-49.88,-69.87,-88.8,-89.79,-109.8,-119.8,
35,120.08,110.01,90.08,70.04,50.09,29.96,9.97,0.0,-9.96,-29.95,-49.88,-69.91,-88.8,-89.79,-109.76,-119.8,
36,120.08,110.04,90.08,70.05,50.09,29.96,9.98,0.0,-9.94,-29.95,-49.86,-69.87,-88.81,-89.8,-109.79,-119.8,
37,120.09,110.05,90.08,70.02,50.09,29.97,9.97,-0.01,-9.96,-29.92,-49.88,-69.91,-88.8,-89.8,-109.8,-119.8,
38,120.08,110.04,90.08,70.05,50.11,29.98,9.97,-0.01,-9.94,-29.95,-49.88,-69.9,-88.81,-89.79,-109.8,-119.81,
39,120.12,110.05,90.11,70.05,50.09,29.96,10.0,-0.01,-9.97,-29.93,-49.88,-69.91,-88.8,-89.8,-109.8,-119.8,
40,120.08,110.01,90.11,70.05,50.11,29.97,9.97,0.0,-9.94,-29.95,-49.88,-69.91,-88.8,-89.79,-109.8,-119.8,
41,120.09,110.04,90.12,70.05,50.11,29.97,10.01,0.0,-9.97,-29.95,-49.9,-69.88,-88.8,-89.8,-109.8,-119.8,
42,120.08,110.02,90.09,70.06,50.11,29.96,9.97,0.0,-9.97,-29.95,-49.9,-69.9,-88.8,-89.79,-109.8,-119.8,
43,120.09,110.01,90.11,70.05,50.11,29.97,9.97,0.0,-9.97,-29.93,-49.88,-69.91,-88.8,-89.8,-109.8,-119.8,
44,120.11,110.04,90.08,70.04,50.09,29.97,10.0,-0.02,-9.97,-29.94,-49.9,-69.87,-88.8,-89.81,-109.8,-119.81,
45,120.09,110.04,90.12,70.05,50.11,29.97,9.98,0.0,-9.97,-29.93,-49.88,-69.91,-88.83,-89.8,-109.8,-119.81,
46,120.08,110.01,90.11,70.05,50.09,29.97,9.98,-0.01,-9.96,-29.94,-49.86,-69.87,-88.81,-89.8,-109.8,-119.8,
47,120.09,110.04,90.11,70.05,50.11,29.96,9.97,-0.01,-9.96,-29.95,-49.88,-69.86,-88.8,-89.79,-109.8,-119.8,
48,120.09,110.04,90.09,70.05,50.11,29.97,9.98,0.0,-9.96,-29.92,-49.9,-69.88,-88.81,-89.8,-109.8,-119.8,
49,120.09,110.05,90.09,70.05,50.09,29.97,9.97,0.01,-9.96,-29.95,-49.88,-69.9,-88.81,-89.8,-109.8,-119.81,
50,120.09,110.01,90.08,70.05,50.11,29.96,9.97,0.0,-9.96,-29.94,-49.88,-69.91,-88.81,-89.81,-109.8,-119.8,
51,120.08,110.02,90.09,70.05,50.11,29.96,9.98,-0.01,-9.96,-29.94,-49.88,-69.93,-88.8,-89.8,-109.8,-119.8,
52,120.06,110.01,90.09,70.05,50.11,29.97,9.98,-0.02,-9.94,-29.95,-49.88,-69.88,-88.8,-89.81,-109.8,-119.77,
